#Patient Identifier	Sample Identifier	Primary Tumor Site	Tumor Type	Sample Origin	Gene Panel	Oncotree Code	Cancer Type	Cancer Type Detailed	TMB (nonsynonymous)
#Identifier to uniquely specify a patient.	A unique sample identifier.	Text term to describe the organ sub-division in an individual with cancer.	Tumor Type	Sample Origin	Gene panel.	Oncotree Code	Cancer Type	Cancer Type Detailed	TMB (nonsynonymous)
#STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	NUMBER
#1	1	1	1	1	1	1	1	1	1
PATIENT_ID	SAMPLE_ID	PRIMARY_SITE	TUMOR_TYPE	SAMPLE_ORIGIN	GENE_PANEL	ONCOTREE_CODE	CANCER_TYPE	CANCER_TYPE_DETAILED	TMB_NONSYNONYMOUS
BT-474	BT474_BREAST	Breast	Breast	Solid	NOVARTIS_BROAD_1651	BRCA	Breast Cancer	Invasive Breast Carcinoma	11.71470969
BT-483	BT483_BREAST	Breast	Breast	Solid	NOVARTIS_BROAD_1651	BRCA	Breast Cancer	Invasive Breast Carcinoma	4.97322581
BT-549	BT549_BREAST	Breast	Breast	Solid	NOVARTIS_BROAD_1651	BRCA	Breast Cancer	Invasive Breast Carcinoma	4.310129035
BV-173	BV173_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic And Lymphoid Tissue	Cml	Haematopoietic	NOVARTIS_BROAD_1651	CML	Blood Cancer	Chronic Myelogenous Leukemia 	3.75754839
BxPC-3	BXPC3_PANCREAS	Pancreas	Pancreas	Solid	NOVARTIS_BROAD_1651	PAAD	Pancreatic Cancer	Pancreatic Adenocarcinoma	2.320838711
C2BBe1	C2BBE1_LARGE_INTESTINE	Large Intestine	Colorectal	Solid	NOVARTIS_BROAD_1651	COADREAD	Colorectal Cancer	Colorectal Adenocarcinoma	4.531161294
C32	C32_SKIN	Skin	Melanoma	Solid	NOVARTIS_BROAD_1651	SKCM	Melanoma	Cutaneous Melanoma	3.75754839
C3A	C3A_LIVER	Liver	Liver	Solid	NOVARTIS_BROAD_1651	HCC	Hepatobiliary Cancer	Hepatocellular Carcinoma	4.862709681
CA46	CA46_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic And Lymphoid Tissue	Lymphoma_Burkitt	Haematopoietic	NOVARTIS_BROAD_1651	BL	Mature B-Cell Neoplasms	Burkitt Lymphoma	4.641677423
CADO-ES1	CADOES1_BONE	Bone	Ewings_Sarcoma	Solid	NOVARTIS_BROAD_1651	ES	Bone Cancer	Ewing Sarcoma	4.089096777
Caki-1	CAKI1_KIDNEY	Kidney	Kidney	Solid	NOVARTIS_BROAD_1651	RCC	Renal Cell Carcinoma	Renal Clear Cell Carcinoma	3.094451615
Caki-2	CAKI2_KIDNEY	Kidney	Kidney	Solid	NOVARTIS_BROAD_1651	RCC	Renal Cell Carcinoma	Renal Clear Cell Carcinoma	3.536516132
CAL-120	CAL120_BREAST	Breast	Breast	Solid	NOVARTIS_BROAD_1651	BRCA	Breast Cancer	Invasive Breast Carcinoma	2.652387099
CAL-12T	CAL12T_LUNG	Lung	Lung_Nsc	Solid	NOVARTIS_BROAD_1651	NSCLC	Non-Small Cell Lung Cancer	Non-Small Cell Lung Cancer	9.725419362
CAL-148	CAL148_BREAST	Breast	Breast	Solid	NOVARTIS_BROAD_1651	BRCA	Breast Cancer	Invasive Breast Carcinoma	7.625612909
CAL_27	CAL27_UPPER_AERODIGESTIVE_TRACT	Upper Aerodigestive Tract	Upper_Aerodigestive	Solid	NOVARTIS_BROAD_1651	EPDCA	Esophagogastric Cancer	Esophageal Poorly Differentiated Carcinoma	4.752193552
CAL-29	CAL29_URINARY_TRACT	Urinary Tract	Urinary_Tract	Solid	NOVARTIS_BROAD_1651	BLCA	Bladder Cancer	Bladder Urothelial Carcinoma	2.983935486
