PATIENT_ID	cBio_scRNA_sample_ID	MxIF_aliquot_ID	thumbnail	minerva
HTA8_6002	HTA8_6002_002101	HTA8_6002_002102	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371597/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371597/minerva/index.html#s=0
HTA8_6002	HTA8_6002_002101	HTA8_6002_002102	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371603/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371603/minerva/index.html#s=0
HTA8_6002	HTA8_6002_002101	HTA8_6002_002102	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371607/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371607/minerva/index.html#s=0
HTA8_6002	HTA8_6002_002101	HTA8_6002_002102	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371615/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371615/minerva/index.html#s=0
HTA8_6002	HTA8_6002_002101	HTA8_6002_002102	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371619/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371619/minerva/index.html#s=0
HTA8_6002	HTA8_6002_002101	HTA8_6002_002102	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371623/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371623/minerva/index.html#s=0
HTA8_6002	HTA8_6002_002101	HTA8_6002_002102	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371631/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371631/minerva/index.html#s=0
HTA8_6002	HTA8_6002_002101	HTA8_6002_002102	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371637/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371637/minerva/index.html#s=0
HTA8_6002	HTA8_6002_002101	HTA8_6002_002102	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371645/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371645/minerva/index.html#s=0
HTA8_6002	HTA8_6002_002101	HTA8_6002_002102	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371648/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371648/minerva/index.html#s=0
HTA8_6002	HTA8_6002_002101	HTA8_6002_002102	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371658/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371658/minerva/index.html#s=0
HTA8_6002	HTA8_6002_002101	HTA8_6002_002103	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371664/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371664/minerva/index.html#s=0
HTA8_6002	HTA8_6002_002101	HTA8_6002_002103	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371670/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371670/minerva/index.html#s=0
HTA8_6002	HTA8_6002_002101	HTA8_6002_002103	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371677/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371677/minerva/index.html#s=0
HTA8_6002	HTA8_6002_002101	HTA8_6002_002103	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371690/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371690/minerva/index.html#s=0
HTA8_6002	HTA8_6002_002101	HTA8_6002_002103	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371695/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371695/minerva/index.html#s=0
HTA8_6002	HTA8_6002_002101	HTA8_6002_002103	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371703/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371703/minerva/index.html#s=0
HTA8_6002	HTA8_6002_003101	HTA8_6002_003102	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371709/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371709/minerva/index.html#s=0
HTA8_6002	HTA8_6002_003101	HTA8_6002_003102	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371712/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371712/minerva/index.html#s=0
HTA8_6002	HTA8_6002_003101	HTA8_6002_003102	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371720/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371720/minerva/index.html#s=0
HTA8_6002	HTA8_6002_003101	HTA8_6002_003102	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371724/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371724/minerva/index.html#s=0
HTA8_6002	HTA8_6002_003101	HTA8_6002_003102	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371729/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371729/minerva/index.html#s=0
HTA8_6002	HTA8_6002_003101	HTA8_6002_003102	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371733/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371733/minerva/index.html#s=0
HTA8_6002	HTA8_6002_003101	HTA8_6002_003102	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371737/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371737/minerva/index.html#s=0
HTA8_6002	HTA8_6002_003101	HTA8_6002_003102	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371743/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371743/minerva/index.html#s=0
HTA8_6002	HTA8_6002_003101	HTA8_6002_003102	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371747/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371747/minerva/index.html#s=0
HTA8_6002	HTA8_6002_003101	HTA8_6002_003102	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371751/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371751/minerva/index.html#s=0
HTA8_6002	HTA8_6002_003101	HTA8_6002_003103	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371756/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371756/minerva/index.html#s=0
HTA8_6002	HTA8_6002_003101	HTA8_6002_003103	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371761/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371761/minerva/index.html#s=0
HTA8_6002	HTA8_6002_003101	HTA8_6002_003103	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371770/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371770/minerva/index.html#s=0
HTA8_6002	HTA8_6002_003101	HTA8_6002_003103	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371775/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371775/minerva/index.html#s=0
HTA8_6002	HTA8_6002_003101	HTA8_6002_003103	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371780/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371780/minerva/index.html#s=0
HTA8_6002	HTA8_6002_003101	HTA8_6002_003103	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371786/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371786/minerva/index.html#s=0
HTA8_6002	HTA8_6002_003101	HTA8_6002_003103	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371790/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371790/minerva/index.html#s=0
HTA8_6003	HTA8_6003_001101	HTA8_6003_001102	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371796/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371796/minerva/index.html#s=0
HTA8_6003	HTA8_6003_001101	HTA8_6003_001102	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371800/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371800/minerva/index.html#s=0
HTA8_6003	HTA8_6003_001101	HTA8_6003_001102	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371805/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371805/minerva/index.html#s=0
HTA8_6003	HTA8_6003_001101	HTA8_6003_001102	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371810/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371810/minerva/index.html#s=0
