#Sample Identifier	Patient Identifier	Purity	Ploidy	Genome Doublings	DepMap ID	Name	Site of Finding	Sample Type	Primary Tumor Site	Site Subtype 1	Site Subtype 2	Site Subtype 3	Histology	Hist Subtype 1	Hist Subtype 2	Hist Subtype 3	Annotation Source	Cell Line Source	Characteristics	Growth Medium	Supplements	Freezing Medium	Doubling Time From Vendor	Doubling Time (hrs)	Tumor Type	Type Refined	Pathologist Annotation	Mutation Rate	Proteomics 10-Plex ID	Proteomics TMT label	TMB (nonsynonymous)	Oncotree Code	Subtype	Lineage	Lineage Subtype	Lineage Sub-subtype	Lineage Molecular Subtype	Cancer Type	Cancer Type Detailed	Tumor Break Load
#A unique sample identifier.	Identifier to uniquely specify a patient.	Purity	Ploidy.	Genome Doublings	DepMap ID	Name	Site of Finding	The type of sample (i.e., Primary, normal, met, recurrence).	Text term to describe the organ sub-division in an individual with cancer.	Site Subtype 1	Site Subtype 2	Site Subtype 3	Histology	Hist Subtype 1	Hist Subtype 2	Hist Subtype 3	Annotation Source	Cell Line Source	Characteristics	Growth Medium	Supplements	Freezing Medium	Doubling Time From Vendor	Doubling Time (hrs)	Tumor Type	Type Refined	Pathologist Annotation	Mutation Rate	Proteomics 10-Plex ID used in proteomics assay	Proteomics TMT label used in proteomics assay	TMB (nonsynonymous)	Oncotree Code	Subtype	Lineage	Lineage Subtype	Lineage Sub-subtype	Lineage Molecular Subtype	Cancer Type	Cancer Type Detailed	The sum of unbalanced somatic chromosomal breaks per tumor sample (Lakbir et al., Eur J Cancer 2022; Data from new manuscript in progress)
#STRING	STRING	NUMBER	NUMBER	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	NUMBER	STRING	STRING	STRING	NUMBER	STRING	STRING	NUMBER	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	NUMBER
#1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
SAMPLE_ID	PATIENT_ID	PURITY	PLOIDY	GENOME_DOUBLINGS	DEPMAPID	NAME	SITE_OF_FINDING	SAMPLE_TYPE	PRIMARY_SITE	SITE_SUBTYPE1	SITE_SUBTYPE2	SITE_SUBTYPE3	HISTOLOGY	HIST_SUBTYPE1	HIST_SUBTYPE2	HIST_SUBTYPE3	ANNOTATION_SOURCE	CELL_LINE_SOURCE	CHARACTERISTICS	GROWTH_MEDIUM	SUPPLEMENTS	FREEZING_MEDIUM	DOUBLING_TIME_FROM_VENDOR	DOUBLING_TIME	TUMOR_TYPE	TYPE_REFINED	PATHOLOGIST_ANNOTATION	MUTATION_RATE	PROTEOMICS_10PLEX_ID	PROTEOMICS_TMT_LABEL	TMB_NONSYNONYMOUS	ONCOTREE_CODE	SUBTYPE	LINEAGE	LINEAGE_SUBTYPE	LINEAGE_SUB_SUBTYPE	LINEAGE_MOLECULAR_SUBTYPE	CANCER_TYPE	CANCER_TYPE_DETAILED	TBL_SCORE
RMUGS_OVARY	RMUGS_OVARY	1	1.76	0	ACH-000701	RMUG-S	NA	Primary	Ovary	NS	NS	NS	Carcinoma	adenocarcinoma	NS	NS	CCLE	NIBRI	NA	NA	NA	NA	NA	NA	ovary	ovary	Ovary:Carcinoma	178.9165928	31	129n	8.03333333333	OVT	Cystadenocarcinoma, mucinous	ovary	ovary_adenocarcinoma	mucinous		Ovarian Cancer	Ovarian Epithelial Tumor	
KLE_ENDOMETRIUM	KLE_ENDOMETRIUM	1	2.7	1	ACH-000293	KLE	NA	Primary	Endometrium	NS	NS	NS	Carcinoma	adenocarcinoma	NS	NS	CCLE	GNF	NA	NA	NA	NA	NA	70.2	endometrium	endometrium	Endometrium:Carcinoma	96.20381721	NA	NA	6.4	UCEC	Endometrial Adenocarcinoma	uterus	endometrial_adenocarcinoma			Endometrial Cancer	Endometrial Carcinoma	102
HS895T_FIBROBLAST	HS895T_FIBROBLAST	1	2	0	ACH-000043	Hs 895.T	lung	Metastasis	Skin	NS	NS	NS	Malignant_Melanoma	NS	NS	NS	CCLE	NIBRI	NA	NA	NA	NA	NA	NA	melanoma	fibroblast_like	Skin:Melanoma	56.09099205	NA	NA	3.23333333333	SKCM	Skin	fibroblast	fibroblast_skin			Melanoma	Cutaneous Melanoma	
LN229_CENTRAL_NERVOUS_SYSTEM	LN229_CENTRAL_NERVOUS_SYSTEM	1	3.81	2	ACH-000595	LN-229	NA	Primary	Central_Nervous_System	brain	NS	NS	Glioma	astrocytoma_Grade_IV	glioblastoma_multiforme	NS	CCLE	NIBRI	NA	NA	NA	NA	NA	NA	glioma	glioma	CNS:Glioma_HighGrade	139.4221578	27	129n	13.8666666667	GB	Glioblastoma	central_nervous_system	glioma	glioblastoma		Glioma	Glioblastoma, IDH-wildtype	250
P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1	2.1	0	ACH-000770	P31/FUJ	NA	Primary	Haematopoietic_And_Lymphoid_Tissue	NS	NS	NS	Haematopoietic_Neoplasm	acute_myeloid_leukaemia	M5	NS	CCLE	HSSRB	lymphocyte-like	RPMI 1640 medium with 10% fetal calf serum	NA	NA	NA	NA	AML	AML	Leukemia:AML	220.9309703	NA	NA	24.1	AML	Acute Myelogenous Leukemia (AML), M5 (Eosinophilic/Monocytic)	blood	AML	M5		Leukemia	Acute Myeloid Leukemia	
RKN_SOFT_TISSUE	RKN_SOFT_TISSUE	1	4.63	2	ACH-000505	RKN	NA	Primary	Soft_Tissue	smooth_muscle	ovary	NS	Leiomyosarcoma	NS	NS	NS	CCLE	HSSRB	epithelial-like	Han's F12 medium 90% with 10% fetal bovine serum	NA	NA	NA	NA	ovary	ovary	Soft_Tissue:Sarcoma_Leiomyo	165.9472722	NA	NA	9.33333333333	LMS	Leiomyosarcoma	soft_tissue	leiomyosarcoma			Soft Tissue Sarcoma	Leiomyosarcoma	134
PATU8988S_PANCREAS	PATU8988S_PANCREAS	1	3.24	1	ACH-000022	PA-TU-8988S	liver	Metastasis	Pancreas	NS	NS	NS	Carcinoma	ductal_carcinoma	NS	NS	CCLE	DSMZ	Adherent epitheloid cells in monolayer	DMEM + 10%FBS	2mM L-Glutamine	10%DMSO	NA	110	pancreas	pancreas	Pancreas:Carcinoma	82.48705026	NA	NA	3.53333333333	PAAD	Ductal Adenocarcinoma, exocrine	pancreas	exocrine	exocrine_adenocarcinoma		Pancreatic Cancer	Pancreatic Adenocarcinoma	
NH6_AUTONOMIC_GANGLIA	NH6_AUTONOMIC_GANGLIA	1	2.02	0	ACH-000203	NH-6	NA	Primary	Autonomic_Ganglia	NS	NS	NS	Neuroblastoma	NS	NS	NS	CCLE	HSSRB	fibroblast-like	alpha-MEM with 10% fetal calf serum	NA	NA	NA	NA	neuroblastoma	neuroblastoma	PNET:Neuroblastoma	115.6076715	NA	NA	7.43333333333	NBL		peripheral_nervous_system	neuroblastoma		MYCN_amp	Peripheral Nervous System	Neuroblastoma	
SF126_CENTRAL_NERVOUS_SYSTEM	SF126_CENTRAL_NERVOUS_SYSTEM	1	2	0	ACH-000609	SF126	NA	Primary	Central_Nervous_System	brain	NS	NS	Glioma	astrocytoma	NS	NS	CCLE	HSSRB	fibroblast-like	Eagle's minimal essential medium with 10% fetal bovine serum	NA	NA	NA	NA	glioma	glioma	CNS:Glioma	136.2988662	NA	NA	8.76666666667	ASTR	Astrocytoma	central_nervous_system	glioma	astrocytoma		Glioma	Astrocytoma, IDH-Mutant	
RERFLCAD2_LUNG	RERFLCAD2_LUNG	1	2.82	1	ACH-000774	RERF-LC-Ad2	NA	Primary	Lung	NS	NS	NS	Carcinoma	adenocarcinoma	NS	NS	CCLE	HSSRB	adherent epithelial-like	RPMI-1640+10% FBS	NA	5% DMSO	NA	70.1	lung_NSC	lung_NSC	Lung:NSCLC_Adeno	215.9785902	NA	NA	10.9333333333	LUAD	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	lung	NSCLC	NSCLC_adenocarcinoma		Non-Small Cell Lung Cancer	Lung Adenocarcinoma	
