Entrez_Gene_Id	TCGA-01-0628-01-11	TCGA-01-0630-01-11	TCGA-01-0631-01-11	TCGA-01-0633-01-11	TCGA-01-0636-01-11	TCGA-01-0637-01-11	TCGA-01-0639-01-11	TCGA-01-0642-01-11
133	-1.37592569	-0.936965748	0.022825712	0.702187411	-0.214892287	-0.656590561	-1.820703467	-0.889383785
134	-0.077747605	-0.075150647	0.037147062	-0.153913079	-0.078051783	-0.197676467	-0.256308763	-0.258608972
135	0.190704566	0.558906756	0.389266867	0.384436122	0.158754968	0.23947062	0.410677128	0.411891867
136	-0.395207214	-0.328217848	0.742252742	0.333630086	-0.159028691	-0.217654278	-0.248911956	0.440127742
140	-0.393974236	-0.147791398	0.372082863	-0.103244599	-0.652789368	-0.277696494	-0.41626479	-0.699422763
141	-0.125243663	-0.326833862	-0.068305684	-0.221305684	-0.24451063	-0.067187617	-0.129149629	-0.332764017
142	-0.966470435	-0.782313678	-1.04038404	-0.983263906	-0.649407909	-0.724713678	-0.993013678	-0.821735587
143	0.133656008	0.575324199	-0.22442663	-0.176657266	0.319196638	1.040742093	-0.020382907	0.201117093
146	-0.061130006	0.036369994	0.31965627	0.01471996	-0.03392093	0.012585234	-0.005294806	0.096664011
147	0.171355264	0.0587432	-0.00180429	0.212342192	0.2330432	-0.016710998	-0.170176642	0.152576524
148	-0.056387523	0.118005592	0.215877569	0.025302657	0.120136958	-0.040215511	0.154639656	0.054958696
150	-0.598931136	0.572852914	0.144958727	0.993743625	0.015881945	-0.518671277	-0.00541518	1.208284205
151	-0.363392634	0.013469559	0.226131979	-0.151159467	-0.036830132	-0.214648239	-0.052858323	-0.068517081
152	0.349670132	0.684051383	0.321961799	0.664961799	-0.039830523	-0.772288201	-1.158912314	0.772170132
153	0.255063861	-0.008662916	0.505192533	0.136962906	0.040278162	0.11835599	-0.071227343	0.266772657
154	1.013773338	1.450465631	0.822639721	1.668663359	0.432015404	1.451821511	0.803014184	1.179024297
155	0.194727665	0.343227665	0.205227665	0.256560998	0.070452978	-0.052692273	0.048727665	0.137227665
156	-0.169668254	0.003857872	-0.007998317	-0.084419781	-0.287956054	0.103762418	0.088465857	0.031218946
157	0.100180761	0.795812006	0.263366865	0.008433223	0.487472428	0.78904797	0.718897827	0.124544908
158	-0.103381357	-0.403346667	-0.066181573	-0.018195643	0.294548626	0.307788544	-0.076481357	0.000403292
159	-0.796946781	-1.050046799	-1.626998904	-1.137042135	-0.702071781	-0.380406232	-1.048311533	-0.711561335
160	0.427043614	0.513431472	0.417191175	0.338790534	-0.257899476	0.802163822	0.575103168	0.783940447
161	0.564385124	0.492862397	0.337953306	0.627633062	0.403862397	0.761589669	0.527287108	0.654688588
162	0.257321704	0.356900731	-0.255017406	-0.115251701	-0.265587086	0.133411992	0.543633589	0.436774261
163	0.118255986	0.09624696	-0.317234179	0.007905561	0.291155561	0.518216828	0.342102676	0.088564215
164	-0.129683332	0.291515081	-0.449477807	0.026698362	0.127945469	0.344835275	0.161245239	-0.134183332
165	-0.281664649	-0.063396082	0.019185351	1.214533483	-0.33920713	-0.338869386	-0.354039649	-0.065414649
166	0.838656617	0.720093125	0.414204236	0.799482014	0.427259792	0.899078061	0.556942332	0.646442332
167	-0.085576094	-0.187396631	0.508438907	0.026625332	0.064768977	-0.01687506	0.096971205	0.154923906
172	-0.077154917	-0.733646142	-0.48975536	-0.055828273	0.392941933	-0.164583417	0.050630223	0.024752495
173	0.103892947	-0.123964249	-0.016335879	0.143569663	0.136801071	-0.115123106	0.294194026	0.031990499
